,app,clocks.current.sm [MHz],power.draw [W],base_run_time,energy
238,cutcp,1164,77.26268415741691,19.0,1467.990998990921
239,cutcp,1177,79.61016129032274,19.0,1512.5930645161318
240,cutcp,1189,80.66211297071185,19.0,1532.580146443525
241,cutcp,1202,83.99800209205034,20.0,1679.9600418410068
242,cutcp,1215,85.59526150627562,20.0,1711.9052301255124
243,cutcp,1227,87.10569296375247,21.0,1829.2195522388024
244,cutcp,1240,88.71648421052643,21.0,1863.046168421055
245,cutcp,1252,90.77786652078785,21.0,1906.3351969365451
246,cutcp,1265,92.42960612691479,21.0,1941.0217286652105
247,cutcp,1278,92.49120350109409,22.0,2034.8064770240705
248,cutcp,1290,95.24256830601078,23.0,2190.579071038248
249,cutcp,1303,97.96279781420776,23.0,2253.1443497267787
250,cutcp,1316,100.51649601820257,24.0,2412.3959044368607
251,cutcp,1328,101.52092150170658,24.0,2436.502116040958
252,fft,544,73.888847117795,12.0,886.6661654135399
253,fft,556,70.69007606263864,12.0,848.2809127516638
254,fft,569,75.27171915333022,12.002581311306145,903.454929579646
255,fft,582,72.00846599131562,11.465508924264352,825.6137094460153
256,fft,594,72.44811759127536,11.594594594594595,840.0065526123549
257,fft,607,74.47608739326995,11.989452536413864,892.9275148994211
258,fft,620,79.12067901234485,11.0,870.3274691357933
259,fft,632,82.58667567567474,12.004054054054055,991.3749189554304
260,fft,645,83.90040845070409,11.0,922.9044929577451
261,fft,658,81.48906139315451,12.0,977.8687367178543
262,fft,670,81.94291319857302,12.014268727705113,984.4841794986703
263,fft,683,86.27996336996384,12.0014652014652,1035.4859779683134
264,fft,696,83.9700433436546,12.0,1007.6405201238553
265,fft,708,84.69216300940376,13.0,1100.9981191222494
266,fft,721,85.59957188498394,12.0,1027.1948626198075
267,fft,734,89.75933333333326,12.0,1077.1119999999992
268,fft,746,87.5532622950812,12.0,1050.6391475409744
269,fft,759,91.34187903225911,12.0,1096.1025483871094
270,fft,772,88.7019635627515,12.0,1064.4235627530181
271,fft,784,86.82792674950944,13.094179202092874,1136.94043260427
272,fft,797,93.88194562446932,14.0,1314.3472387425704
273,fft,810,92.00940350877191,13.0,1196.1222456140347
274,fft,822,86.23289981331669,13.248911014312384,1142.4920161327475
275,fft,835,92.74730741540674,13.0,1205.7149964002874
276,fft,847,93.67100073046083,13.0,1217.7230094959912
277,fft,860,94.19079646017795,13.0,1224.4803539823133
278,fft,873,95.04136262099827,14.0,1330.5790766939756
279,fft,885,96.267864741642,14.0,1347.7501063829875
280,fft,898,96.67250191864876,14.0,1353.4150268610827
281,fft,911,97.39157650695569,14.002318392581143,1363.707863005819
282,fft,923,98.3111640624996,14.0,1376.3562968749945
283,fft,936,91.18243697478908,15.222689075630253,1388.0418872254654
284,fft,949,99.59185361973029,15.0,1493.8778042959545
285,fft,961,99.83023162939205,15.02396166134185,1499.8455726428629
286,fft,974,106.78872916666779,15.016666666666667,1603.6107496527945
287,fft,987,101.9608799342099,15.0,1529.4131990131484
288,fft,999,109.71907120743128,15.0,1645.7860681114691
289,fft,1012,105.26827820186595,16.0,1684.2924512298553
290,fft,1025,110.64729338842986,16.0,1770.3566942148777
291,fft,1037,106.7610717703345,16.462200956937803,1757.5222178613049
292,fft,1050,106.81895379250156,16.0,1709.1032606800254
293,fft,1063,108.0148024582973,16.0,1728.2368393327567
294,fft,1075,119.33734475374752,17.0,2028.7348608137079
295,fft,1088,119.44151832460732,17.0,2030.505811518325
296,fft,1101,113.85634963768128,17.0,1935.5579438405814
297,fft,1113,115.97169724770691,18.0,2087.490550458724
298,fft,1126,117.6026856095331,18.0,2116.848340971596
299,fft,1139,118.90152133580654,18.0,2140.2273840445173
300,fft,1151,122.1576569821924,18.0,2198.837825679463
301,fft,1164,132.76120559741707,19.0,2522.462906350925
302,fft,1177,126.891417697431,19.0,2410.936936251189
303,fft,1189,128.3862356321845,19.003831417624518,2439.830378297453
304,fft,1202,130.7010192307693,20.0,2614.0203846153863
305,fft,1215,139.27857900318213,20.0,2785.5715800636426
306,fft,1227,135.54310981535428,21.0,2846.4053061224395
307,fft,1240,145.17896367521368,21.0,3048.7582371794874
308,fft,1252,140.9179249011849,21.0,2959.276422924884
309,fft,1265,142.38896551724181,21.0,2990.168275862078
310,fft,1278,144.96951195219145,22.0,3189.329262948212
311,fft,1290,148.35706999999917,23.0,3412.212609999981
312,fft,1303,156.4569379014987,23.0,3598.5095717344702
313,fft,1316,158.51270299145273,24.0,3804.304871794866
314,fft,1328,157.94077309236903,24.0,3790.5785542168574
315,ge,544,46.56154175588852,12.0,558.7385010706622
316,ge,556,46.5528102710412,11.0,512.0809129814531
317,ge,569,47.08745054945039,12.0,565.0494065934048
318,ge,582,47.143338213763116,11.0,518.5767203513942
319,ge,594,47.47523297491064,11.0,522.227562724017
320,ge,607,48.15927873779114,11.0,529.7520661157025
321,ge,620,48.29086620262954,11.0,531.199528228925
322,ge,632,47.76261978361683,11.0,525.3888176197852
323,ge,645,48.45070324574978,12.0,581.4084389489974
324,ge,658,49.033330683624726,11.0,539.366637519872
325,ge,670,49.0183545310014,11.0,539.2018998410153
326,ge,683,49.07760731319537,11.0,539.853680445149
327,ge,696,49.12838760921333,14.0,687.7974265289865
328,ge,708,49.798797054009505,13.0,647.3843617021237
329,ge,721,49.90565466448467,12.0,598.8678559738162
330,ge,734,50.040907407407644,12.0,600.4908888888917
331,ge,746,49.777673772011354,12.0,597.3320852641363
332,ge,759,50.292046296296455,12.0,603.5045555555572
333,ge,772,50.72589376053975,12.0,608.710725126477
334,ge,784,50.84359190556489,12.0,610.1231028667787
335,ge,797,50.85317592592578,12.0,610.2381111111092
336,ge,810,52.271286956521685,12.0,627.2554434782601
337,ge,822,51.69799130434775,12.0,620.3758956521732
338,ge,835,51.889791304347725,14.0,726.4570782608682
339,ge,847,51.958443478260676,13.0,675.4597652173887
340,ge,860,52.82614003590689,13.0,686.7398204667895
341,ge,873,52.865700179533285,13.0,687.2541023339327
342,ge,885,52.89940807174895,13.0,687.6923049327362
343,ge,898,53.002260089686146,13.0,689.02938116592
344,ge,911,53.902551020407905,14.0,754.6357142857107
345,ge,923,53.94746987951807,13.0,701.3171084337349
346,ge,936,54.588494726750056,14.0,764.2389261745008
347,ge,949,54.122335495829525,13.0,703.5903614457837
348,ge,961,54.69802303262947,13.0,711.0742994241832
349,ge,974,55.17744721689056,14.0,772.4842610364677
350,ge,987,55.28727447216893,14.0,774.021842610365
351,ge,999,55.336548418024705,14.0,774.7116778523457
352,ge,1012,56.65896585365866,14.0,793.2255219512214
353,ge,1025,55.9361365853656,14.0,783.1059121951182
354,ge,1037,56.33734309623418,14.0,788.7228033472784
355,ge,1050,57.47200202224476,15.0,862.0800303336714
356,ge,1063,57.90352881698679,15.0,868.5529322548018
357,ge,1075,58.6731414141416,16.0,938.7702626262655
358,ge,1088,58.78041414141469,15.0,881.7062121212202
359,ge,1101,61.068312368972556,15.0,916.0246855345883
360,ge,1113,61.33985324947586,16.0,981.4376519916136
361,ge,1126,62.22977987421378,16.0,995.6764779874203
362,ge,1139,62.583700209643624,16.0,1001.339203354298
363,ge,1151,63.235094339622925,15.0,948.526415094344
364,ge,1164,64.4341893362348,16.0,1030.9470293797567
365,ge,1177,64.92965179542988,16.0,1038.874428726878
366,ge,1189,67.20350054525636,16.0,1075.2560087241018
367,ge,1202,68.08876772082841,16.0,1089.4202835332546
368,ge,1215,70.0991157205241,16.0,1121.5858515283855
369,ge,1227,70.03945414847158,16.0,1120.6312663755452
370,ge,1240,71.294061135371,17.0,1211.999039301307
371,ge,1252,72.16979257641924,17.0,1226.886473799127
372,ge,1265,73.37816192560133,17.0,1247.4287527352228
373,ge,1278,73.44193654266941,17.0,1248.5129212253794
374,ge,1290,77.0127676537583,17.0,1309.2170501138912
375,ge,1303,77.8025997719498,17.0,1322.6441961231465
376,ge,1316,79.3896241457858,18.0,1429.0132346241446
377,ge,1328,81.2532839224629,18.0,1462.5591106043319
378,heartwall,544,43.32629041856763,39.0,1689.7253263241375
379,heartwall,556,43.7232623169116,39.0,1705.207230359552
380,heartwall,569,43.68516438635979,39.0,1703.721411068032
381,heartwall,582,44.113577156267716,39.0,1720.4295090944413
382,heartwall,594,44.45557230708188,40.0,1778.222892283275
383,heartwall,607,45.35856708552886,40.0,1814.3426834211546
384,heartwall,620,45.18305697365694,40.0,1807.3222789462773
385,heartwall,632,45.311170984455785,41.0,1857.7580103626874
386,heartwall,645,45.49805636743202,41.0,1865.4203110647131
387,heartwall,658,45.85574136763732,41.0,1880.08539607313
388,heartwall,670,46.19817576870158,42.0,1940.3233822854666
389,heartwall,683,46.3699631236445,42.0,1947.5384511930688
390,heartwall,696,46.63628115435061,42.0,1958.723808482726
391,heartwall,708,46.9598480892474,42.0,1972.3136197483911
